user1@test.com,user2@test.com
user2@test.com,user3@test.com
user3@test.com,user4@test.com
user4@test.com,user5@test.com
user5@test.com,user6@test.com
user6@test.com,user7@test.com
user7@test.com,user8@test.com
user8@test.com,user9@test.com
user9@test.com,user10@test.com
user10@test.com,user11@test.com
user11@test.com,user12@test.com
user12@test.com,user13@test.com
user13@test.com,user14@test.com
user14@test.com,user15@test.com
user15@test.com,user16@test.com
user16@test.com,user17@test.com
user17@test.com,user18@test.com
user18@test.com,user19@test.com
user19@test.com,user20@test.com
user20@test.com,user21@test.com

